Date,Patient ID,RedSignal
01:50.7,vu,24584
01:50.7,vu,24598
01:50.7,vu,24592
01:50.7,vu,24613
01:50.7,vu,24611
01:50.7,vu,24587
01:50.8,vu,24563
01:50.8,vu,24540
01:50.8,vu,24515
01:50.8,vu,24485
01:50.8,vu,24457
01:50.8,vu,24416
01:50.8,vu,24397
01:50.8,vu,24362
01:50.8,vu,24345
01:50.8,vu,24319
01:50.9,vu,24292
01:50.9,vu,24280
01:50.9,vu,24263
01:50.9,vu,24242
01:50.9,vu,24241
01:50.9,vu,24223
01:50.9,vu,24219
01:50.9,vu,24202
01:50.9,vu,24175
01:50.9,vu,24181
01:51.0,vu,24162
01:51.0,vu,24157
01:51.0,vu,24139
01:51.0,vu,24119
01:51.0,vu,24098
01:51.0,vu,24071
01:51.0,vu,24059
01:51.0,vu,24047
01:51.0,vu,24022
01:51.0,vu,23993
01:51.1,vu,24009
01:51.1,vu,24024
01:51.1,vu,24058
01:51.1,vu,24144
01:51.1,vu,24272
01:51.1,vu,24539
01:51.1,vu,24679
01:51.1,vu,24782
01:51.1,vu,24849
01:51.1,vu,24897
01:51.2,vu,24913
01:51.2,vu,24887
01:51.2,vu,24872
01:51.2,vu,24837
01:51.2,vu,24795
01:51.2,vu,24758
01:51.2,vu,24731
01:51.2,vu,24701
01:51.2,vu,24682
01:51.3,vu,24669
01:51.3,vu,24666
01:51.3,vu,24652
01:51.3,vu,24641
01:51.3,vu,24616
01:51.3,vu,24600
01:51.3,vu,24578
01:51.3,vu,24564
01:51.3,vu,24555
01:51.3,vu,24543
01:51.4,vu,24551
01:51.4,vu,24569
01:51.4,vu,24589
01:51.4,vu,24592
01:51.4,vu,24610
01:51.4,vu,24608
01:51.4,vu,24631
01:51.4,vu,24625
01:51.4,vu,24608
01:51.5,vu,24614
01:51.5,vu,24582
01:51.5,vu,24523
01:51.5,vu,24500
01:51.5,vu,24474
01:51.5,vu,24445
01:51.5,vu,24425
01:51.5,vu,24378
01:51.5,vu,24346
01:51.5,vu,24323
01:51.6,vu,24305
01:51.6,vu,24282
01:51.6,vu,24253
01:51.6,vu,24244
01:51.6,vu,24224
01:51.6,vu,24198
01:51.6,vu,24188
01:51.6,vu,24163
01:51.6,vu,24148
01:51.6,vu,24155
01:51.7,vu,24122
01:51.7,vu,24110
01:51.7,vu,24090
01:51.7,vu,24068
01:51.7,vu,24034
01:51.7,vu,24037
01:51.7,vu,24021
01:51.7,vu,23989
01:51.7,vu,23969
01:51.8,vu,23951
01:51.8,vu,23975
01:51.8,vu,23955
01:51.8,vu,23993
01:51.8,vu,24030
01:51.8,vu,24148
01:51.8,vu,24295
01:51.8,vu,24444
01:51.8,vu,24587
01:51.8,vu,24813
01:51.9,vu,24884
01:51.9,vu,24909
01:51.9,vu,24923
01:51.9,vu,24923
01:51.9,vu,24882
01:51.9,vu,24828
01:51.9,vu,24785
01:51.9,vu,24746
01:51.9,vu,24719
01:51.9,vu,24691
01:51.9,vu,24664
01:52.0,vu,24652
01:52.0,vu,24632
01:52.0,vu,24614
01:52.0,vu,24605
01:52.0,vu,24591
01:52.0,vu,24560
01:52.0,vu,24534
01:52.0,vu,24536
01:52.0,vu,24531
01:52.0,vu,24520
01:52.1,vu,24535
01:52.1,vu,24545
01:52.1,vu,24575
01:52.1,vu,24595
01:52.1,vu,24584
01:52.1,vu,24599
01:52.1,vu,24603
01:52.1,vu,24592
01:52.1,vu,24584
01:52.2,vu,24550
01:52.2,vu,24519
01:52.2,vu,24492
01:52.2,vu,24447
01:52.2,vu,24424
01:52.2,vu,24324
01:52.2,vu,24310
01:52.2,vu,24247
01:52.2,vu,24226
01:52.2,vu,24202
01:52.3,vu,24170
01:52.3,vu,24148
01:52.3,vu,24114
01:52.3,vu,24119
01:52.3,vu,24081
01:52.3,vu,24054
01:52.3,vu,24029
01:52.3,vu,24021
01:52.3,vu,24007
01:52.4,vu,24007
01:52.4,vu,24003
01:52.4,vu,23977
01:52.4,vu,23958
01:52.4,vu,23952
01:52.4,vu,23935
01:52.4,vu,23920
01:52.4,vu,23897
01:52.4,vu,23881
01:52.4,vu,23878
01:52.5,vu,23868
01:52.5,vu,23851
01:52.5,vu,23831
01:52.5,vu,23821
01:52.5,vu,23807
01:52.5,vu,23799
01:52.5,vu,23856
01:52.5,vu,23898
01:52.5,vu,23991
01:52.6,vu,24120
01:52.6,vu,24294
01:52.6,vu,24572
01:52.6,vu,24675
01:52.6,vu,24755
01:52.6,vu,24813
01:52.6,vu,24824
01:52.6,vu,24825
01:52.6,vu,24801
01:52.6,vu,24755
01:52.7,vu,24709
01:52.7,vu,24659
01:52.7,vu,24611
01:52.7,vu,24598
01:52.7,vu,24568
01:52.7,vu,24517
01:52.7,vu,24498
01:52.7,vu,24478
01:52.7,vu,24444
01:52.7,vu,24420
01:52.8,vu,24417
01:52.8,vu,24414
01:52.8,vu,24401
01:52.8,vu,24423
01:52.8,vu,24440
01:52.8,vu,24428
01:52.8,vu,24462
01:52.8,vu,24489
01:52.8,vu,24503
01:52.8,vu,24509
01:52.8,vu,24497
01:52.9,vu,24501
01:52.9,vu,24507
01:52.9,vu,24474
01:52.9,vu,24454
01:52.9,vu,24423
01:52.9,vu,24410
01:52.9,vu,24371
01:52.9,vu,24329
01:52.9,vu,24267
01:53.0,vu,24243
01:53.0,vu,24214
01:53.0,vu,24197
01:53.0,vu,24173
01:53.0,vu,24138
01:53.0,vu,24116
01:53.0,vu,24089
01:53.0,vu,24047
01:53.0,vu,24045
01:53.0,vu,24008
01:53.1,vu,24003
01:53.1,vu,23970
01:53.1,vu,23961
01:53.1,vu,23928
01:53.1,vu,23910
01:53.1,vu,23885
01:53.1,vu,23865
01:53.1,vu,23855
01:53.1,vu,23837
01:53.2,vu,23830
01:53.2,vu,23818
01:53.2,vu,23825
01:53.2,vu,23866
01:53.2,vu,23957
01:53.2,vu,24035
01:53.2,vu,24191
01:53.2,vu,24347
01:53.2,vu,24513
01:53.2,vu,24637
01:53.3,vu,24750
01:53.3,vu,24822
01:53.3,vu,24854
01:53.3,vu,24863
01:53.3,vu,24846
01:53.3,vu,24773
01:53.3,vu,24730
01:53.3,vu,24688
01:53.3,vu,24631
01:53.3,vu,24613
01:53.4,vu,24578
01:53.4,vu,24582
01:53.4,vu,24563
01:53.4,vu,24540
01:53.4,vu,24532
01:53.4,vu,24510
01:53.4,vu,24487
01:53.4,vu,24474
01:53.4,vu,24470
01:53.5,vu,24475
01:53.5,vu,24483
01:53.5,vu,24518
01:53.5,vu,24530
01:53.5,vu,24562
01:53.5,vu,24568
01:53.5,vu,24593
01:53.5,vu,24587
01:53.5,vu,24620
01:53.5,vu,24594
01:53.6,vu,24584
01:53.6,vu,24553
01:53.6,vu,24536
01:53.6,vu,24505
01:53.6,vu,24446
01:53.6,vu,24413
01:53.6,vu,24365
01:53.6,vu,24333
01:53.6,vu,24291
01:53.7,vu,24272
01:53.7,vu,24220
01:53.7,vu,24185
01:53.7,vu,24120
01:53.7,vu,24108
01:53.7,vu,24073
01:53.7,vu,24057
01:53.7,vu,24037
01:53.7,vu,24000
01:53.7,vu,23998
01:53.8,vu,23985
01:53.8,vu,23966
01:53.8,vu,23957
01:53.8,vu,23926
01:53.8,vu,23913
01:53.8,vu,23894
01:53.8,vu,23886
01:53.8,vu,23860
01:53.8,vu,23862
01:53.8,vu,23852
01:53.8,vu,23865
01:53.9,vu,23915
01:53.9,vu,23991
01:53.9,vu,24116
01:53.9,vu,24257
01:53.9,vu,24437
01:53.9,vu,24580
01:53.9,vu,24717
01:53.9,vu,24807
01:53.9,vu,24876
01:53.9,vu,24888
01:54.0,vu,24892
01:54.0,vu,24867
01:54.0,vu,24850
01:54.0,vu,24798
01:54.0,vu,24743
01:54.0,vu,24717
01:54.0,vu,24685
01:54.0,vu,24654
01:54.0,vu,24627
01:54.1,vu,24616
01:54.1,vu,24593
01:54.1,vu,24563
01:54.1,vu,24550
01:54.1,vu,24529
01:54.1,vu,24505
01:54.1,vu,24516
01:54.1,vu,24517
01:54.1,vu,24528
01:54.1,vu,24551
01:54.2,vu,24568
01:54.2,vu,24591
01:54.2,vu,24597
01:54.2,vu,24603
01:54.2,vu,24594
01:54.2,vu,24602
01:54.2,vu,24602
01:54.2,vu,24594
01:54.2,vu,24560
01:54.3,vu,24530
01:54.3,vu,24501
01:54.3,vu,24472
01:54.3,vu,24433
01:54.3,vu,24396
01:54.3,vu,24373
01:54.3,vu,24330
01:54.3,vu,24304
01:54.3,vu,24260
01:54.3,vu,24238
01:54.4,vu,24216
01:54.4,vu,24176
01:54.4,vu,24136
01:54.4,vu,24115
01:54.4,vu,24096
01:54.4,vu,24054
01:54.4,vu,24032
01:54.4,vu,24019
01:54.4,vu,23992
01:54.5,vu,23985
01:54.5,vu,23978
01:54.5,vu,23959
01:54.5,vu,23959
01:54.5,vu,23939
01:54.5,vu,23893
01:54.5,vu,23893
01:54.5,vu,23876
01:54.5,vu,23828
01:54.5,vu,23794
01:54.6,vu,23762
01:54.6,vu,23762
01:54.6,vu,23739
01:54.6,vu,23752
01:54.6,vu,23744
01:54.6,vu,23817
01:54.6,vu,23890
01:54.6,vu,24006
01:54.6,vu,24147
01:54.6,vu,24348
01:54.7,vu,24522
01:54.7,vu,24674
01:54.7,vu,24767
01:54.7,vu,24844
01:54.7,vu,24880
01:54.7,vu,24899
01:54.7,vu,24888
01:54.7,vu,24871
01:54.7,vu,24813
01:54.7,vu,24790
01:54.8,vu,24754
01:54.8,vu,24730
01:54.8,vu,24664
01:54.8,vu,24651
01:54.8,vu,24616
01:54.8,vu,24617
01:54.8,vu,24611
01:54.8,vu,24584
01:54.8,vu,24583
01:54.8,vu,24570
01:54.9,vu,24565
01:54.9,vu,24559
01:54.9,vu,24589
01:54.9,vu,24605
01:54.9,vu,24625
01:54.9,vu,24621
01:54.9,vu,24625
01:54.9,vu,24634
01:54.9,vu,24638
01:54.9,vu,24634
01:55.0,vu,24605
01:55.0,vu,24590
01:55.0,vu,24568
01:55.0,vu,24529
01:55.0,vu,24491
01:55.0,vu,24447
01:55.0,vu,24415
01:55.0,vu,24369
01:55.0,vu,24318
01:55.0,vu,24266
01:55.1,vu,24225
01:55.1,vu,24178
01:55.1,vu,24149
01:55.1,vu,24107
01:55.1,vu,24085
01:55.1,vu,24044
01:55.1,vu,24045
01:55.1,vu,23999
01:55.1,vu,23984
01:55.2,vu,23968
01:55.2,vu,23945
01:55.2,vu,23921
01:55.2,vu,23912
01:55.2,vu,23881
01:55.2,vu,23876
01:55.2,vu,23837
01:55.2,vu,23830
01:55.2,vu,23808
01:55.2,vu,23769
01:55.3,vu,23752
01:55.3,vu,23720
01:55.3,vu,23711
01:55.3,vu,23676
01:55.3,vu,23673
01:55.3,vu,23648
01:55.3,vu,23638
01:55.3,vu,23666
01:55.3,vu,23739
01:55.4,vu,23855
01:55.4,vu,23960
01:55.4,vu,24137
01:55.4,vu,24309
01:55.4,vu,24451
01:55.4,vu,24581
01:55.4,vu,24669
01:55.4,vu,24725
01:55.4,vu,24748
01:55.4,vu,24766
01:55.5,vu,24727
01:55.5,vu,24711
01:55.5,vu,24682
01:55.5,vu,24632
01:55.5,vu,24590
01:55.5,vu,24550
01:55.5,vu,24548
01:55.5,vu,24507
01:55.5,vu,24497
01:55.6,vu,24471
01:55.6,vu,24445
01:55.6,vu,24450
01:55.6,vu,24418
01:55.6,vu,24434
01:55.6,vu,24427
01:55.6,vu,24427
01:55.6,vu,24430
01:55.6,vu,24450
01:55.6,vu,24489
01:55.6,vu,24504
01:55.6,vu,24513
01:55.7,vu,24507
01:55.7,vu,24509
01:55.7,vu,24505
01:55.7,vu,24479
01:55.7,vu,24473
01:55.7,vu,24446
01:55.7,vu,24438
01:55.7,vu,24423
01:55.7,vu,24387
01:55.8,vu,24366
01:55.8,vu,24327
01:55.8,vu,24317
01:55.8,vu,24296
01:55.8,vu,24262
01:55.8,vu,24221
01:55.8,vu,24188
01:55.8,vu,24163
01:55.8,vu,24147
01:55.8,vu,24124
01:55.9,vu,24100
01:55.9,vu,24059
01:55.9,vu,24017
01:55.9,vu,24017
01:55.9,vu,23987
01:55.9,vu,23967
01:55.9,vu,23936
01:55.9,vu,23915
01:55.9,vu,23887
01:56.0,vu,23881
01:56.0,vu,23839
01:56.0,vu,23824
01:56.0,vu,23827
01:56.0,vu,23814
01:56.0,vu,23823
01:56.0,vu,23858
01:56.0,vu,23932
01:56.0,vu,24017
01:56.0,vu,24169
01:56.1,vu,24326
01:56.1,vu,24465
01:56.1,vu,24580
01:56.1,vu,24648
01:56.1,vu,24708
01:56.1,vu,24747
01:56.1,vu,24756
01:56.1,vu,24764
01:56.1,vu,24740
01:56.2,vu,24694
01:56.2,vu,24670
01:56.2,vu,24642
01:56.2,vu,24604
01:56.2,vu,24566
01:56.2,vu,24552
01:56.2,vu,24543
01:56.2,vu,24504
01:56.2,vu,24488
01:56.2,vu,24445
01:56.3,vu,24402
01:56.3,vu,24416
01:56.3,vu,24414
01:56.3,vu,24409
01:56.3,vu,24429
01:56.3,vu,24462
01:56.3,vu,24460
01:56.3,vu,24492
01:56.3,vu,24510
01:56.3,vu,24519
01:56.4,vu,24534
01:56.4,vu,24532
01:56.4,vu,24520
01:56.4,vu,24508
01:56.4,vu,24499
01:56.4,vu,24462
01:56.4,vu,24433
01:56.4,vu,24401
01:56.4,vu,24365
01:56.5,vu,24343
01:56.5,vu,24310
01:56.5,vu,24281
01:56.5,vu,24254
01:56.5,vu,24223
01:56.5,vu,24220
01:56.5,vu,24197
01:56.5,vu,24175
01:56.5,vu,24167
01:56.5,vu,24144
01:56.5,vu,24142
01:56.6,vu,24111
01:56.6,vu,24100
01:56.6,vu,24091
01:56.6,vu,24075
01:56.6,vu,24046
01:56.6,vu,24025
01:56.6,vu,24006
01:56.6,vu,23984
01:56.6,vu,23970
01:56.7,vu,23939
01:56.7,vu,23913
01:56.7,vu,23892
01:56.7,vu,23880
01:56.7,vu,23865
01:56.7,vu,23865
01:56.7,vu,23855
01:56.7,vu,23883
01:56.7,vu,23935
01:56.7,vu,24023
01:56.8,vu,24165
01:56.8,vu,24326
01:56.8,vu,24452
01:56.8,vu,24579
01:56.8,vu,24680
01:56.8,vu,24747
01:56.8,vu,24777
01:56.8,vu,24802
01:56.8,vu,24792
01:56.8,vu,24776
01:56.9,vu,24734
01:56.9,vu,24697
01:56.9,vu,24647
01:56.9,vu,24609
01:56.9,vu,24600
01:56.9,vu,24579
01:56.9,vu,24558
01:56.9,vu,24530
01:56.9,vu,24505
01:56.9,vu,24502
01:57.0,vu,24467
01:57.0,vu,24441
01:57.0,vu,24429
01:57.0,vu,24422
01:57.0,vu,24420
01:57.0,vu,24434
01:57.0,vu,24450
01:57.0,vu,24479
01:57.0,vu,24472
01:57.1,vu,24497
01:57.1,vu,24507
01:57.1,vu,24476
01:57.1,vu,24487
01:57.1,vu,24471
01:57.1,vu,24452
01:57.1,vu,24416
01:57.1,vu,24408
01:57.1,vu,24377
01:57.1,vu,24341
01:57.2,vu,24314
01:57.2,vu,24278
01:57.2,vu,24253
01:57.2,vu,24210
01:57.2,vu,24187
01:57.2,vu,24171
01:57.2,vu,24149
01:57.2,vu,24127
01:57.2,vu,24105
01:57.3,vu,24086
01:57.3,vu,24080
01:57.3,vu,24047
01:57.3,vu,24025
01:57.3,vu,24013
01:57.3,vu,24001
01:57.3,vu,23984
01:57.3,vu,23986
01:57.3,vu,23972
01:57.3,vu,23954
01:57.4,vu,23962
01:57.4,vu,23947
01:57.4,vu,23897
01:57.4,vu,23887
01:57.4,vu,23871
01:57.4,vu,23847
01:57.4,vu,23829
01:57.4,vu,23814
01:57.4,vu,23789
01:57.5,vu,23778
01:57.5,vu,23737
01:57.5,vu,23706
01:57.5,vu,23708
01:57.5,vu,23703
01:57.5,vu,23700
01:57.5,vu,23719
01:57.5,vu,23793
01:57.5,vu,23877
01:57.5,vu,24002
01:57.5,vu,24149
01:57.6,vu,24328
01:57.6,vu,24459
01:57.6,vu,24553
01:57.6,vu,24629
01:57.6,vu,24685
01:57.6,vu,24709
01:57.6,vu,24663
01:57.6,vu,24704
01:57.6,vu,24714
01:57.6,vu,24687
01:57.7,vu,24676
01:57.7,vu,24651
01:57.7,vu,24641
01:57.7,vu,24620
01:57.7,vu,24603
01:57.7,vu,24581
01:57.7,vu,24569
01:57.7,vu,24563
01:57.7,vu,24549
01:57.7,vu,24548
01:57.8,vu,24539
01:57.8,vu,24553
01:57.8,vu,24581
01:57.8,vu,24590
01:57.8,vu,24630
01:57.8,vu,24645
01:57.8,vu,24665
01:57.8,vu,24664
01:57.8,vu,24693
01:57.9,vu,24686
01:57.9,vu,24699
01:57.9,vu,24688
01:57.9,vu,24672
01:57.9,vu,24657
01:57.9,vu,24636
01:57.9,vu,24613
01:57.9,vu,24600
01:57.9,vu,24559
01:57.9,vu,24541
01:58.0,vu,24521
01:58.0,vu,24495
01:58.0,vu,24465
01:58.0,vu,24437
01:58.0,vu,24434
01:58.0,vu,24408
01:58.0,vu,24393
01:58.0,vu,24398
01:58.0,vu,24387
01:58.1,vu,24370
01:58.1,vu,24359
01:58.1,vu,24344
01:58.1,vu,24346
01:58.1,vu,24337
01:58.1,vu,24326
01:58.1,vu,24317
01:58.1,vu,24308
01:58.1,vu,24287
01:58.1,vu,24281
01:58.2,vu,24276
01:58.2,vu,24268
01:58.2,vu,24256
01:58.2,vu,24239
01:58.2,vu,24238
01:58.2,vu,24224
01:58.2,vu,24235
01:58.2,vu,24257
01:58.2,vu,24326
01:58.2,vu,24399
01:58.3,vu,24511
01:58.3,vu,24617
01:58.3,vu,24734
01:58.3,vu,24833
01:58.3,vu,24885
01:58.3,vu,24960
01:58.3,vu,24991
01:58.3,vu,25014
01:58.3,vu,24998
01:58.4,vu,24985
01:58.4,vu,24955
01:58.4,vu,24930
01:58.4,vu,24884
01:58.4,vu,24844
01:58.4,vu,24815
01:58.4,vu,24809
01:58.4,vu,24781
01:58.4,vu,24749
01:58.4,vu,24706
01:58.4,vu,24683
01:58.5,vu,24663
01:58.5,vu,24664
01:58.5,vu,24674
01:58.5,vu,24675
01:58.5,vu,24685
01:58.5,vu,24710
01:58.5,vu,24744
01:58.5,vu,24751
01:58.5,vu,24795
01:58.5,vu,24810
01:58.6,vu,24804
01:58.6,vu,24806
01:58.6,vu,24780
01:58.6,vu,24784
01:58.6,vu,24757
01:58.6,vu,24715
01:58.6,vu,24691
01:58.6,vu,24653
01:58.6,vu,24613
01:58.6,vu,24589
01:58.7,vu,24568
01:58.7,vu,24522
01:58.7,vu,24535
01:58.7,vu,24538
01:58.7,vu,24535
01:58.7,vu,24525
01:58.7,vu,24533
01:58.7,vu,24523
01:58.7,vu,24520
01:58.8,vu,24519
01:58.8,vu,24499
01:58.8,vu,24505
01:58.8,vu,24494
01:58.8,vu,24521
01:58.8,vu,24502
01:58.8,vu,24507
01:58.8,vu,24505
01:58.8,vu,24507
01:58.8,vu,24496
01:58.9,vu,24474
01:58.9,vu,24467
01:58.9,vu,24475
01:58.9,vu,24475
01:58.9,vu,24448
01:58.9,vu,24448
01:58.9,vu,24449
01:58.9,vu,24484
01:58.9,vu,24548
01:59.0,vu,24619
01:59.0,vu,24730
01:59.0,vu,24848
01:59.0,vu,24974
01:59.0,vu,25088
01:59.0,vu,25194
01:59.0,vu,25269
01:59.0,vu,25320
01:59.0,vu,25366
01:59.0,vu,25378
01:59.1,vu,25355
01:59.1,vu,25344
01:59.1,vu,25301
01:59.1,vu,25268
01:59.1,vu,25243
01:59.1,vu,25222
01:59.1,vu,25178
01:59.1,vu,25175
01:59.1,vu,25149
01:59.2,vu,25132
01:59.2,vu,25117
01:59.2,vu,25079
01:59.2,vu,25064
01:59.2,vu,25069
01:59.2,vu,25069
01:59.2,vu,25085
01:59.2,vu,25090
01:59.2,vu,25112
01:59.2,vu,25128
01:59.3,vu,25137
01:59.3,vu,25139
01:59.3,vu,25160
01:59.3,vu,25166
01:59.3,vu,25143
01:59.3,vu,25134
01:59.3,vu,25102
01:59.3,vu,25076
01:59.3,vu,25076
01:59.4,vu,25038
01:59.4,vu,25025
01:59.4,vu,24992
01:59.4,vu,24969
01:59.4,vu,24936
01:59.4,vu,24910
01:59.4,vu,24895
01:59.4,vu,24870
01:59.4,vu,24861
01:59.4,vu,24846
01:59.4,vu,24822
01:59.4,vu,24829
01:59.5,vu,24829
01:59.5,vu,24810
01:59.5,vu,24782
01:59.5,vu,24765
01:59.5,vu,24750
01:59.5,vu,24750
01:59.5,vu,24746
01:59.5,vu,24716
01:59.5,vu,24721
01:59.6,vu,24695
01:59.6,vu,24698
01:59.6,vu,24684
01:59.6,vu,24691
01:59.6,vu,24687
01:59.6,vu,24701
01:59.6,vu,24768
01:59.6,vu,24820
01:59.6,vu,24924
01:59.6,vu,25039
01:59.7,vu,25140
01:59.7,vu,25256
01:59.7,vu,25348
01:59.7,vu,25430
01:59.7,vu,25483
01:59.7,vu,25495
01:59.7,vu,25476
01:59.7,vu,25494
01:59.7,vu,25500
01:59.8,vu,25469
01:59.8,vu,25438
01:59.8,vu,25419
01:59.8,vu,25403
01:59.8,vu,25390
01:59.8,vu,25358
01:59.8,vu,25363
01:59.8,vu,25355
01:59.8,vu,25332
01:59.8,vu,25312
01:59.9,vu,25300
01:59.9,vu,25282
01:59.9,vu,25298
01:59.9,vu,25279
01:59.9,vu,25298
01:59.9,vu,25311
01:59.9,vu,25326
01:59.9,vu,25352
01:59.9,vu,25366
02:00.0,vu,25370
02:00.0,vu,25379
02:00.0,vu,25370
02:00.0,vu,25371
02:00.0,vu,25347
02:00.0,vu,25345
02:00.0,vu,25299
02:00.0,vu,25283
02:00.0,vu,25244
02:00.0,vu,25215
02:00.1,vu,25177
02:00.1,vu,25172
02:00.1,vu,25149
02:00.1,vu,25126
02:00.1,vu,25089
02:00.1,vu,25087
02:00.1,vu,25052
02:00.1,vu,25046
02:00.1,vu,25022
02:00.1,vu,25014
02:00.2,vu,24998
02:00.2,vu,24994
02:00.2,vu,24979
02:00.2,vu,24963
02:00.2,vu,24949
02:00.2,vu,24941
02:00.2,vu,24927
02:00.2,vu,24911
02:00.2,vu,24908
02:00.3,vu,24897
02:00.3,vu,24888
02:00.3,vu,24894
02:00.3,vu,24913
02:00.3,vu,24970
02:00.3,vu,25048
02:00.3,vu,25145
02:00.3,vu,25264
02:00.3,vu,25391
02:00.3,vu,25528
02:00.3,vu,25599
02:00.4,vu,25689
02:00.4,vu,25736
02:00.4,vu,25726
02:00.4,vu,25715
02:00.4,vu,25699
02:00.4,vu,25672
02:00.4,vu,25625
02:00.4,vu,25585
02:00.4,vu,25525
02:00.4,vu,25516
02:00.5,vu,25482
02:00.5,vu,25454
02:00.5,vu,25440
02:00.5,vu,25423
02:00.5,vu,25391
02:00.5,vu,25382
02:00.5,vu,25365
02:00.5,vu,25348
02:00.5,vu,25343
02:00.5,vu,25343
02:00.6,vu,25329
02:00.6,vu,25323
02:00.6,vu,25356
02:00.6,vu,25394
02:00.6,vu,25412
02:00.6,vu,25437
02:00.6,vu,25446
02:00.6,vu,25444
02:00.6,vu,25407
02:00.7,vu,25409
02:00.7,vu,25380
02:00.7,vu,25354
02:00.7,vu,25309
02:00.7,vu,25294
02:00.7,vu,25256
02:00.7,vu,25237
02:00.7,vu,25202
02:00.7,vu,25175
02:00.7,vu,25141
02:00.8,vu,25134
02:00.8,vu,25107
02:00.8,vu,25097
02:00.8,vu,25061
02:00.8,vu,25067
02:00.8,vu,25060
02:00.8,vu,25050
02:00.8,vu,25029
02:00.8,vu,25026
02:00.9,vu,25011
02:00.9,vu,25003
02:00.9,vu,25001
02:00.9,vu,24986
02:00.9,vu,24976
02:00.9,vu,24984
02:00.9,vu,24960
02:00.9,vu,24942
02:00.9,vu,24926
02:00.9,vu,24923
02:01.0,vu,24902
02:01.0,vu,24900
02:01.0,vu,24890
02:01.0,vu,24922
02:01.0,vu,25068
02:01.0,vu,25178
02:01.0,vu,25285
02:01.0,vu,25418
